original_english	augmented_spanglish	original_spanish
Women often represent a large share of health-care workers and often cannot attend work because of childcare obligations that result from school closures.	Women often represent a large share of health-care workers and often cannot attend work because of childcare obligations that result from school closures.	Las mujeres representan una gran proporción del grupo de trabajadores de la salud y a menudo no pueden ir a trabajar debido a las obligaciones de cuidado de niños que se derivan del cierre de escuelas.
This means that many medical professionals are not at the facilities where they are most needed during a health crisis.	esto medios que muchos médicas profesionales son no at los instalaciones donde ellas are most necesitó durante a sanidad crisis.	Esto significa que muchos médicos no están en las instalaciones, donde más se los necesita durante una crisis sanitaria.
Lack of access to technology or fast, reliable internet access can prevent students in rural areas and from disadvantaged families.	Lack of access to technology or fast, reliable internet access can prevent students in rural areas and from disadvantaged families.	La falta de acceso a la tecnología o de una conexión rápida y confiable a internet puede perjudicar a los estudiantes de zonas rurales y de familias en situación de desventaja.
Lack of access to technology or good internet connectivity is an obstacle to continued learning, especially for students from disadvantaged families.	carencia of acceda to tecnológica or buenos internet conectividad is an obstáculo to continuó learning, especialmente para estudiantes from desfavorecida families.	La falta de acceso a la tecnología o a una buena conexión a internet es un obstáculo para continuar aprendiendo, en particular para los estudiantes de familias en situación de desventaja.
In response to school closures caused by COVID-19, UNESCO recommends the use of distance learning programmes and open educational applications and platforms that schools and teachers can use to reach learners remotely and limit the disruption of education.To aid in slowing the transmission of COVID-19, hundreds of libraries have temporarily closed.	In response to school closures caused by COVID-19, UNESCO recommends the use of distance learning programmes and open educational applications and platforms that schools and teachers can use to reach learners remotely and limit the disruption of education.To aid in slowing the transmission of COVID-19, hundreds of libraries have temporarily closed.	En respuesta al cierre de escuelas provocado por la COVID-19, la UNESCO recomienda el uso de programas de educación a distancia y de aplicaciones y plataformas educativas abiertas que las escuelas y los docentes pueden usar para llegar a los alumnos de manera remota y reducir la interrupción de la educación. Con el fin de retrasar la transmisión de COVID-19, cientos de bibliotecas han cerrado temporalmente.
In the United States, numerous major cities announced public library closures, including Los Angeles, San Francisco, Seattle, and New York City, affecting 221 libraries.	In the United States, numerous major cities announced public library closures, including Los Angeles, San Francisco, Seattle, and New York City, affecting 221 libraries.	En Estados Unidos, muchas ciudades importantes, incluidas Los Ángeles, San Francisco, Seattle y Nueva York, anunciaron el cierre de bibliotecas públicas, que afecta a 221 bibliotecas.
For students without internet at home, this increases the difficulty of keeping up with distance learning.	For students without internet at home, this increases the difficulty of keeping up with distance learning.	En el caso de los estudiantes que no tienen internet en su casa, esto aumenta la dificultad de mantenerse al día con la educación a distancia.
School closures puts a strain on parents and guardians to provide childcare and manage distance learning while children are out of school.	escuela cierres pone a cepa on progenitores y tutores to proporcione childcare y administra distancias aprendizaje mientras ninos are out of school.	El cierre de las escuelas implica un esfuerzo por parte de los padres y los tutores que deben cuidar a sus hijos y ocuparse de la educación a distancia mientras los niños no vayan a la escuela.
In the absence of alternative options, working parents often leave children alone when schools close and this can lead to risky behaviours, including increased influence of peer pressure and substance abuse.	In las ausencia of alternativo options, trabajando padres frecuentemente dejar niños alone when colegios cerrar y esto can plomo to arriesgado behaviours, incluida aumento influenciar of peer presiones y substancia abuse.	Ante la falta de opciones alternativas, los padres que trabajan suelen dejar a los hijos solos cuando las escuelas cierran y esto puede dar lugar a comportamientos de riesgo, que incluyen una mayor influencia de la presión de los compañeros y el uso indebido de sustancias.
Many children worldwide rely on free or discounted meals at schools.	Many children worldwide rely on free or discounted meals at schools.	Muchos niños de todo el mundo dependen de las comidas gratuitas o con descuento de las escuelas.
When schools close, nutrition is compromised.Nutrition plays a critical role in cognitive development and academic performance for children.In Washington State, around 45% of the states 1.1 million students enrolled in traditional public and charter schools qualify for subsidised school meals.	When schools close, nutrition is compromised.Nutrition plays a critical role in cognitive development and academic performance for children.In Washington State, around 45% of the states 1.1 million students enrolled in traditional public and charter schools qualify for subsidised school meals.	Cuando las escuelas cierran, la alimentación se ve especialmente comprometida. La alimentación desempeña un papel fundamental en el desarrollo cognitivo y en el rendimiento académico de los niños. En el estado de Washington, alrededor del 45 % de los 1,1 millones de estudiantes del estado matriculados en escuelas públicas tradicionales y subvencionadas cumplen con los requisitos para recibir comidas financiadas.
