original_english	augmented_chinglish	original_chinese
The SARS-CoV-2 virus may last on cardboard for up to 24 hours and on plastic for up to 3 days.	The SARS-CoV-2 virus may last on cardboard for up to 24 hours and on plastic for up to 3 days.	SARS-CoV-2 病毒在纸板上最长可存活 24 小时，在塑料上最长可存活 3 天。
Transmission via the fecal–oral route may also be possible.	傳輸 經由 the fecal–oral 路線 梅 還 be possible.	除此之外，还可能通过粪口传播。
Evidence suggests that COVID-19 is contagious even without symptoms, though to what extent is still being investigated.	證據 suggests 那個 COVID-19 is 傳染性 甚至 without symptoms, 雖然 to what extent is 仍然 being investigated.	有证据表明 COVID-19 患者即使无症状也具有传染性，其传染程度仍在调查中。
Common symptoms include a fever, dry cough, and fatigue.	Common symptoms include a fever, dry cough, and fatigue.	常见症状有发热、干咳和乏力。
Other less common symptoms include shortness of breath, a sore throat, headache, muscle pain, or sputum production.	其他 少了 常見 症狀 包括 shortness of breath, a sore throat, headache, 肌肉 pain, or sputum production.	另外一些不太常见的症状有气促、喉咙痛、头痛、肌肉疼痛或咳痰。
Some patients have very mild symptoms, similar to a cold.	一些 病患 have 非常 溫和 symptoms, 類似 to a cold.	有些患者症状较轻，类似感冒。
Serious complications include pneumonia, acute respiratory distress syndrome, and multi-organ failure leading to disability or death.	Serious complications include pneumonia, acute respiratory distress syndrome, and multi-organ failure leading to disability or death.	另一些患者则可能伴有严重的并发症，包括肺炎、急性呼吸窘迫综合征和导致残疾或死亡的多器官衰竭。
About 80% of infections result in mild symptoms, while the remaining may result in hospitalization.	關於 80% of 感染 結果 in 輕度 symptoms, while the 剩餘 梅 結果 in hospitalization.	大约 80% 的感染症状较轻，其余感染可能导致患者入院。
Case fatality rate is estimated at 1-3% of infected individuals, most of whom are elderly with underlying health conditions.	Case fatality rate is estimated at 1-3% of infected individuals, most of whom are elderly with underlying health conditions.	病死率约为 1-3%，其中大部分为存在基础健康问题的老年人。
The fatality rate is much higher for those over 70 but significantly lower for those under 40.	The fatality 速率 is much 更高 for 那些 over 70 不過 significantly 更低 for 那些 under 40.	70 岁以上患者的死亡率较高，但 40 岁以下的死亡率非常低。
Those most at risk of COVID-19 infection and serious complications are the elderly and those with weakened immune systems or underlying health conditions like cardiovascular disease, diabetes, hypertension, chronic respiratory disease, and cancer.	那些 大部分 at 風險 of COVID-19 傳染 和 嚴重 併發症 are the 老人 和 那些 with 削弱 免疫 系統 or underlying 健康 條件 讚 cardiovascular disease, diabetes, hypertension, 慢性 respiratory disease, 而且 cancer.	COVID-19 感染和严重并发症风险最高的是老年人、免疫力低下者或患有心血管疾病、糖尿病、高血压、慢性呼吸道疾病和癌症等基础性疾病的人群。
Not many cases are reported in children and most of these are mild or moderate, though a significant fraction do get pneumonia.	Not many cases are reported in children and most of these are mild or moderate, though a significant fraction do get pneumonia.	儿童报告病例并不多，且大部分儿童病例症状为轻度或中度，不过确实有很大一部分会发展为肺炎。
Occupationally, health care workers have higher risk compared to others with clusters of disease among workers and in health care settings.	Occupationally, health care workers have higher risk compared to others with clusters of disease among workers and in health care settings.	从职业角度来看，相比其他工作人员之间或医疗环境中出现疾病集群的人员，医疗工作者所面临的风险更高。
The time between being exposed to the virus and the emergence of symptoms (incubation period) is typically between 2 and 14 days, though there has been one reported case in China where symptoms appeared 27 days after exposure.	The time between being exposed to the virus and the emergence of symptoms (incubation period) is typically between 2 and 14 days, though there has been one reported case in China where symptoms appeared 27 days after exposure.	从接触病毒到出现症状一般间隔（潜伏期）2-14 天，不过中国曾报告一例接触病毒后 27 天才出现症状的病例。
As of February 2020, the period of infectiousness is unknown, but is likely most significant when people are symptomatic.	As of 二月 2020, the 期間 of infectiousness is unknown, 但是 is likely 多數 significant 當 人 are symptomatic.	截至 2020 年 2 月，传染期尚不清楚，但出现症状后的传染性很可能最强。
There is evidence of transmission from people who don't have symptoms, although to what extent is still being investigated.	There is 證據 of 傳輸 來自 人 誰 don't have symptoms, 雖然 to what extent is 依然 being investigated.	有证据显示，无症状者也会传播病毒，尽管其传播程度目前还在调查当中。
